,champion,gameId,lane,platformId,queue,role_x,season,timestamp,assists,champLevel,combatPlayerScore,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,duration,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameid,goldEarned,goldSpent,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,objectivePlayerScore,participantId,pentaKills,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,quadraKills,sightWardsBoughtInGame,statPerk0,statPerk1,statPerk2,team,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,win,id,name,role_y
20,99,3333058172,TOP,NA1,450,DUO_SUPPORT,13,1584720538159,37,18,0,1339,1339,9844,8,2,1457,False,False,False,True,True,False,3333058172,14399,14185,1,3020,3089,3048,3285,3135,1052,2052,2,9,0,5,2,238,71709,30670,10625,0,0,5,0,8128,2566,37,851,8126,1446,0,0,8138,30,0,0,8106,5,0,0,8014,1067,0,0,8009,7450,500,0,8100,8000,5280,1544,3714,0,0,0,0,0,0,0,0,0,0,0,0,5008.0,5008.0,5001.0,100,73,78192,33417,14879,299,47,0,0,202,1,0,1201,1201,539,0,0,0,0,False,99,Lux,Mage
21,99,3307241934,MID,NA1,450,DUO,13,1582672124449,26,18,0,1107,1107,6392,3,2,1234,False,False,True,False,False,False,3307241934,13918,11100,0,3285,3020,3048,3089,0,0,2052,3,10,0,4,2,438,78648,20524,4491,0,0,5,0,8214,1905,1311,0,8226,250,891,0,8210,0,0,0,8236,48,0,0,8126,833,0,0,8106,5,0,0,8200,8100,5053,419,4972,0,0,0,0,0,0,0,0,0,0,0,0,5008.0,5008.0,5001.0,100,42,84275,21517,9488,2547,80,0,0,145,5,0,573,573,24,1,0,0,0,True,99,Lux,Mage
22,99,3294511406,BOTTOM,NA1,450,DUO,13,1581549094549,22,18,0,144,144,5662,4,0,1265,False,False,False,False,False,False,3294511406,11808,11335,0,3048,3165,3089,3020,1052,0,2052,1,2,0,2,1,499,57785,18553,8084,0,0,7,0,8214,1749,717,0,8226,250,1182,0,8210,0,0,0,8236,48,0,0,8126,1207,0,0,8106,5,0,0,8200,8100,2698,260,2067,0,0,0,0,0,0,0,0,0,0,0,0,5008.0,5008.0,5001.0,200,79,61418,19733,10315,1386,50,0,0,206,1,0,933,918,163,0,0,0,0,False,99,Lux,Mage
23,99,3191835790,TOP,NA1,450,DUO_SUPPORT,13,1572521847588,24,18,0,2422,2422,21738,6,1,1284,False,False,False,False,False,False,3191835790,14824,13150,0,3048,3020,3029,3135,3089,0,2052,4,14,0,5,2,354,86588,27715,848,0,0,9,0,8214,2382,1799,0,8226,250,880,0,8210,0,0,0,8236,48,0,0,8126,1217,0,0,8138,30,0,0,8200,8100,6572,1169,15067,0,0,0,0,0,0,0,0,0,0,0,0,5008.0,5008.0,5001.0,200,53,107651,29876,16223,3371,59,0,0,217,1,0,14491,991,307,0,0,0,0,True,99,Lux,Mage
24,99,2858973396,NONE,NA1,450,DUO,11,1536005112658,8,10,0,0,0,3961,3,0,556,False,False,False,False,False,False,2858973396,7020,6350,0,3048,3020,3010,1026,0,0,2052,2,5,0,2,1,306,25393,9154,1021,0,0,9,0,8214,533,310,0,8226,250,160,0,8210,0,0,0,8236,0,0,0,8009,2723,60,0,8017,156,0,0,8200,8000,2306,394,3588,0,0,0,0,0,0,0,0,0,0,0,0,,,,200,36,27700,9548,4675,194,22,0,0,116,1,0,0,0,65,0,0,0,0,False,99,Lux,Mage
25,99,2858868111,TOP,NA1,450,DUO_SUPPORT,11,1535996628315,15,18,0,753,753,9547,2,1,1270,False,False,False,False,False,False,2858868111,14012,11135,0,3048,3020,3089,3029,1052,0,2052,2,11,0,5,2,625,102047,36523,5676,0,0,2,0,8214,1854,1444,0,8226,250,1077,0,8210,0,0,0,8236,24,0,0,8009,7408,107,0,8017,2326,0,0,8200,8000,6538,1672,2349,0,1,0,0,0,0,0,0,0,0,0,0,,,,100,110,108916,38526,8126,1616,72,0,0,378,1,0,330,330,100,0,0,0,0,True,99,Lux,Mage
26,33,3529837273,TOP,NA1,450,SOLO,13,1597108669920,26,18,0,552,552,56397,12,0,1251,False,False,False,False,False,False,3529837273,11629,11800,0,3067,3068,3111,3001,3083,1029,2052,0,2,0,0,1,145,28429,10372,14675,0,0,1,0,8439,970,0,0,8401,0,0,0,8429,61,19,16,8451,283,0,0,9105,10,30,0,9111,1416,280,0,8400,8000,5717,1491,16698,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5002.0,5003.0,100,26,35226,12833,35459,2507,18,0,0,353,1,0,1079,969,4085,0,0,0,0,True,33,Rammus,Tank
27,33,3525618036,TOP,NA1,450,DUO_SUPPORT,13,1596838541490,23,18,0,1107,1107,80538,9,0,1428,False,False,True,False,False,False,3525618036,16624,15700,0,3068,3111,3001,3742,3083,3076,0,3,13,0,4,1,318,74352,24107,13469,0,0,1,0,8439,2198,0,0,8401,157,0,0,8429,66,24,16,8451,394,0,0,9105,12,10,0,9111,2646,360,0,8400,8000,9686,4466,22509,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5002.0,5003.0,100,80,86795,30304,42120,6187,62,0,0,842,1,0,2756,1730,6142,0,0,0,0,True,33,Rammus,Tank
28,33,3524987321,NONE,NA1,450,DUO_SUPPORT,13,1596810074640,23,15,0,1982,1982,37136,8,0,904,False,False,True,False,False,False,3524987321,10439,9050,0,2051,3047,3068,3075,1031,1028,2052,0,8,57,0,1,173,35906,12509,7748,0,0,6,0,8439,772,0,0,8401,0,0,0,8429,46,25,12,8451,206,0,0,9105,5,20,0,9111,1743,310,0,8400,8000,5666,2338,13277,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5002.0,5003.0,200,42,42192,15443,21948,2877,29,0,0,507,1,0,619,594,922,1,0,0,0,True,33,Rammus,Tank
29,33,3524624454,NONE,NA1,450,DUO,13,1596774801957,25,17,0,668,668,37302,6,1,1150,False,False,True,False,False,True,3524624454,11965,10970,0,3068,3047,3075,3742,1057,1028,2052,1,5,48,3,2,250,42825,13844,6934,0,0,5,0,8439,682,0,0,8401,15,0,0,8429,58,27,14,8451,276,0,0,9105,8,30,0,9111,1844,300,0,8400,8000,6664,2464,11163,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5002.0,5003.0,100,37,49784,16602,18098,2130,58,0,0,359,1,0,294,294,0,1,0,0,0,True,33,Rammus,Tank
30,33,3523134986,NONE,NA1,450,DUO_SUPPORT,13,1596687453638,17,16,0,357,357,40084,12,0,1084,False,False,False,False,False,False,3523134986,9740,9650,0,3001,3111,3068,3801,3067,1028,2052,1,2,0,2,1,128,27977,6566,15808,0,0,10,0,8439,865,0,0,8463,1020,0,0,8429,55,17,16,8451,264,0,0,8224,1020,0,0,8210,0,0,0,8400,8200,4830,1322,10236,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5002.0,5003.0,200,29,33741,8693,27770,1108,31,0,0,463,4,0,934,804,1726,0,0,0,0,False,33,Rammus,Tank
31,33,3521252478,NONE,NA1,450,DUO_SUPPORT,13,1596562614099,10,17,0,781,781,53869,11,1,1182,False,False,True,False,False,False,3521252478,12428,11750,0,3068,3111,3001,3742,3067,1011,2052,2,7,0,2,2,168,49650,10492,15067,0,0,5,0,8439,1798,0,0,8463,1987,0,0,8429,59,19,16,8451,325,0,0,8224,876,0,0,8210,0,0,0,8400,8200,7402,1665,14458,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5002.0,5003.0,100,37,58175,13280,30282,2339,49,0,0,536,4,0,1123,1123,755,1,0,0,0,False,33,Rammus,Tank
32,33,3514087711,TOP,NA1,450,DUO_SUPPORT,13,1596065876596,39,18,0,1813,1813,88953,14,0,1487,False,False,False,False,False,False,3514087711,16074,15500,0,3916,3111,3068,3001,3083,3029,2052,2,9,0,3,1,137,81338,26592,32383,0,0,7,0,8439,1781,0,0,8463,4936,0,0,8429,67,19,16,8451,333,0,0,8014,936,0,0,9111,3996,480,0,8400,8000,11725,6922,25037,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5002.0,5003.0,200,91,94238,34534,59064,11361,50,0,0,1268,5,0,1174,1019,1643,0,0,0,0,False,33,Rammus,Tank
33,33,3493966829,NONE,NA1,450,DUO_SUPPORT,13,1594703605426,14,17,0,565,565,43803,8,0,1026,False,False,False,False,False,False,3493966829,11200,10200,0,3068,3047,3075,3083,1029,1029,2052,3,8,88,2,1,118,41305,18620,10081,0,0,6,0,8439,1885,0,0,8463,1274,0,0,8429,53,25,12,8451,258,0,0,9111,1200,220,0,9105,8,50,0,8400,8000,2878,1517,10998,0,0,0,0,0,0,0,0,0,0,0,0,5005.0,5002.0,5002.0,200,39,44942,20897,22287,2290,34,0,0,517,5,0,759,759,1207,0,0,0,0,True,33,Rammus,Tank
