matchnum,queue,result,duration,champion,spell1,spell2,keystone,rune,kills,deaths,assists,level,csscore,killpct,class
299,URF,DEFEAT,18:14,SIVIR,Heal,Flash,Conqueror,Domination,5,9,11,15,90,48%,Marksman
300,URF,DEFEAT,14:31,SIVIR,Heal,Flash,Dark Harvest,Precision,5,8,4,12,75,36%,Marksman
301,URF,VICTORY,18:37,TWISTEDFATE,Heal,Flash,Arcane Comet,Domination,15,6,16,19,98,48%,Mage
302,URF,DEFEAT,19:38,VELKOZ,Heal,Flash,Arcane Comet,Domination,3,9,5,16,77,17%,Mage
303,URF,DEFEAT,16:41,SIVIR,Heal,Flash,Electrocute,Precision,7,13,8,14,88,38%,Marksman
304,URF,VICTORY,14:42,SIVIR,Heal,Flash,Electrocute,Precision,14,5,13,14,88,59%,Marksman
305,URF,DEFEAT,16:41,TEEMO,Heal,Flash,Press the Attack,Domination,2,11,3,13,41,20%,Marksman
306,URF,VICTORY,20:10,VEIGAR,Heal,Flash,Arcane Comet,Domination,11,9,8,17,66,31%,Mage
307,URF,VICTORY,13:59,MISSFORTUNE,Heal,Flash,Press the Attack,Domination,5,7,7,13,65,27%,Marksman
308,URF,DEFEAT,16:15,ZIGGS,Heal,Flash,Arcane Comet,Domination,6,11,4,14,51,37%,Mage
309,URF,VICTORY,19:35,TWISTEDFATE,Heal,Flash,Arcane Comet,Domination,5,8,20,17,82,45%,Mage
310,ARAM,DEFEAT,18:24,GAREN,Clarity,Flash,Grasp of the Undying,Sorcery,3,9,6,15,23,50%,Fighter
311,ARAM,VICTORY,21:11,ANIVIA,Clarity,Flash,Arcane Comet,Precision,6,5,22,18,68,78%,Mage
312,ARAM,VICTORY,11:27,MASTERYI,Mark,Flash,Conqueror,Domination,15,6,14,12,25,73%,Assassin
313,ARAM,VICTORY,22:43,TWISTEDFATE,Clarity,Flash,Press the Attack,Domination,5,8,19,18,43,41%,Mage
314,ARAM,VICTORY,13:21,VELKOZ,Clarity,Flash,Arcane Comet,Domination,6,3,25,14,23,79%,Mage
315,ARAM,VICTORY,19:39,AMUMU,Mark,Flash,Grasp of the Undying,Sorcery,8,10,25,18,47,73%,Tank
316,ARAM,DEFEAT,19:05,TWITCH,Heal,Flash,Lethal Tempo,Domination,22,10,12,17,43,76%,Marksman
317,ARAM,VICTORY,19:30,ZILEAN,Clarity,Flash,Arcane Comet,Domination,6,3,15,17,72,78%,Support
318,ARAM,DEFEAT,26:06,VELKOZ,Clarity,Flash,Arcane Comet,Domination,15,7,27,18,101,78%,Mage
319,ARAM,DEFEAT,24:43,ZED,Heal,Flash,Electrocute,Precision,8,11,22,18,83,59%,Assassin
320,ARAM,DEFEAT,14:14,JINX,Heal,Flash,Lethal Tempo,Domination,8,7,10,13,36,82%,Marksman
321,ARAM,DEFEAT,19:37,TWISTEDFATE,Clarity,Flash,Press the Attack,Sorcery,7,10,17,17,63,65%,Mage
322,ARAM,DEFEAT,17:28,KAISA,Heal,Flash,Press the Attack,Domination,10,8,14,16,64,62%,Marksman
323,ARAM,DEFEAT,15:13,VARUS,Heal,Flash,Dark Harvest,Precision,10,6,15,15,54,68%,Marksman
324,ARAM,DEFEAT,13:44,ASHE,Heal,Flash,Lethal Tempo,Domination,7,8,11,13,24,69%,Marksman
325,ARAM,VICTORY,20:21,GAREN,Mark,Flash,Grasp of the Undying,Sorcery,11,8,7,18,47,44%,Fighter
326,ARAM,VICTORY,21:04,MONKEYKING,Mark,Flash,Electrocute,Precision,11,11,25,18,32,77%,
327,ARAM,VICTORY,30:57,ZOE,Ignite,Flash,Arcane Comet,Domination,6,8,21,18,71,61%,Mage
328,ARAM,VICTORY,22:47,BRAUM,Mark,Flash,Guardian,Sorcery,4,4,36,18,12,82%,Support
329,ARAM,DEFEAT,18:01,GAREN,Mark,Flash,Grasp of the Undying,Sorcery,10,9,14,17,37,67%,Fighter
330,ARAM,VICTORY,17:32,MORGANA,Clarity,Flash,Arcane Comet,Domination,8,4,22,17,41,83%,Mage
331,ARAM,VICTORY,18:19,SIVIR,Clarity,Flash,Lethal Tempo,Domination,18,7,27,18,95,69%,Marksman
332,ARAM,DEFEAT,15:11,ASHE,Heal,Flash,Lethal Tempo,Domination,14,7,10,15,64,96%,Marksman
333,ARAM,VICTORY,17:03,AURELIONSOL,Heal,Flash,Arcane Comet,Precision,13,7,30,18,50,77%,Mage
334,ARAM,DEFEAT,21:05,KAYLE,Heal,Flash,Lethal Tempo,Domination,8,9,22,18,70,86%,Fighter
335,ARAM,DEFEAT,17:49,ZOE,Ignite,Flash,Dark Harvest,Sorcery,4,6,10,16,25,58%,Mage
336,ARAM,VICTORY,18:55,ZILEAN,Clarity,Flash,Summon Aery,Inspiration,10,6,33,18,40,84%,Support
337,ARAM,VICTORY,23:03,SIVIR,Heal,Flash,Lethal Tempo,Domination,10,8,29,18,130,75%,Marksman
338,ARAM,DEFEAT,15:02,KAYLE,Heal,Flash,Lethal Tempo,Domination,4,9,21,14,31,83%,Fighter
339,ARAM,VICTORY,14:04,GAREN,Mark,Flash,Grasp of the Undying,Sorcery,13,3,10,14,22,64%,Fighter
340,ARAM,VICTORY,14:38,ASHE,Heal,Flash,Lethal Tempo,Domination,10,5,19,15,43,78%,Marksman
341,ARAM,VICTORY,17:45,SONA,Clarity,Flash,Summon Aery,Inspiration,4,7,25,16,23,94%,Support
342,ARAM,VICTORY,13:37,ZIGGS,Clarity,Flash,Arcane Comet,Domination,6,1,20,14,23,96%,Mage
343,ARAM,DEFEAT,17:38,BARD,Heal,Flash,Electrocute,Precision,4,6,13,16,19,74%,Support
344,ARAM,DEFEAT,16:12,SIVIR,Heal,Flash,Lethal Tempo,Inspiration,5,10,21,15,87,62%,Marksman
345,ARAM,VICTORY,25:46,GALIO,Clarity,Flash,Aftershock,Sorcery,7,9,24,18,57,67%,Tank
346,ARAM,VICTORY,17:05,SONA,Clarity,Flash,Summon Aery,Inspiration,2,6,39,16,23,93%,Support
347,ARAM,VICTORY,16:29,MISSFORTUNE,Heal,Flash,Dark Harvest,Precision,11,5,23,16,59,74%,Marksman
348,ARAM,DEFEAT,18:47,SINGED,Mark,Flash,Summon Aery,Domination,15,10,25,17,58,82%,Tank
349,ARAM,VICTORY,18:51,PANTHEON,Mark,Flash,Electrocute,Precision,12,8,20,17,24,68%,Fighter
350,ARAM,VICTORY,15:31,KAISA,Heal,Flash,Press the Attack,Domination,7,7,24,15,34,70%,Marksman
351,ARAM,VICTORY,20:49,GALIO,Mark,Flash,Aftershock,Sorcery,11,7,11,18,56,65%,Tank
352,ARAM,VICTORY,22:45,KAISA,Heal,Flash,Press the Attack,Domination,13,9,33,18,74,79%,Marksman
353,ARAM,VICTORY,16:07,KOGMAW,Heal,Flash,Lethal Tempo,Domination,18,5,21,17,67,80%,Marksman
354,ARAM,DEFEAT,17:19,ILLAOI,Mark,Flash,Grasp of the Undying,Sorcery,7,9,13,17,80,80%,Fighter
355,ARAM,DEFEAT,18:55,NIDALEE,Clarity,Flash,Dark Harvest,Precision,14,9,14,17,30,68%,Assassin
